                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1717,                 1.2558,                 1.3292,                0.52155,                0.34408,                 0.3107,                0.13811,                    nan,                    nan,                    nan,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.1725,                  1.201,                 1.3235,                0.41497,                0.30952,                0.31788,                0.17444,                    nan,                    nan,                    nan,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.1962,                 1.2415,                  1.354,                0.41028,                0.36756,                0.32238,                0.17289,                    nan,                    nan,                    nan,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.144,                 1.2246,                 1.3044,                0.49642,                0.30728,                0.29932,                0.15068,                    nan,                    nan,                    nan,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.1131,                 1.2168,                 1.3177,                0.40321,                0.30506,                0.28883,                0.15841,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     57,                 1.0558,                 1.1414,                 1.2534,                0.34115,                0.17907,                0.14802,                0.06235,                    nan,                    nan,                    nan,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.1301,                 1.1903,                  1.303,                 0.6919,                0.25248,                0.28179,                0.13538,                    nan,                    nan,                    nan,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.1351,                  1.164,                 1.3212,                0.43713,                0.20982,                 0.2417,                0.15073,                    nan,                    nan,                    nan,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.1217,                 1.1581,                 1.2857,                0.33117,                0.30464,                0.29466,                  0.162,                    nan,                    nan,                    nan,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.1348,                 1.0883,                 1.3583,                0.41072,                 0.3621,                0.33241,                0.18896,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     62,                 1.1175,                    1.1,                  1.267,                0.33403,                0.35714,                0.31049,                0.17188,                    nan,                    nan,                    nan,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.0826,                 1.1154,                 1.2623,                0.34839,                0.25744,                0.20856,                0.09987,                    nan,                    nan,                    nan,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.0745,                 1.0177,                  1.306,                0.48776,                0.36756,                0.34439,                0.17461,                    nan,                    nan,                    nan,              0.0087526,              0.0087526,              0.0087526
